Image,Label 1 Description,Label 1 Score,Label 1 Topicality,Label 2 Description,Label 2 Score,Label 2 Topicality,Label 3 Description,Label 3 Score,Label 3 Topicality,Label 4 Description,Label 4 Score,Label 4 Topicality,Label 5 Description,Label 5 Score,Label 5 Topicality,Label 6 Description,Label 6 Score,Label 6 Topicality,Label 7 Description,Label 7 Score,Label 7 Topicality,Label 8 Description,Label 8 Score,Label 8 Topicality,Label 9 Description,Label 9 Score,Label 9 Topicality,Label 10 Description,Label 10 Score,Label 10 Topicality
premium-luster-photo-paper-poster-_in_-16x16-transparent-657a051a04f09.jpg,Picture frame,0.8104709,0.8104709,Art,0.79648626,0.79648626,Jewellery,0.72706914,0.72706914,Event,0.6958862,0.6958862,Visual arts,0.66631526,0.66631526,Eyelash,0.66602594,0.66602594,Body jewelry,0.6355934,0.6355934,Font,0.58996534,0.58996534,Monochrome photography,0.56915325,0.56915325,Eyewear,0.5654038,0.5654038
premium-luster-photo-paper-poster-_in_-16x16-transparent-657a10f549245.jpg,Sleeve,0.8724473,0.8724473,Art,0.8158119,0.8158119,Tints and shades,0.7500664,0.7500664,Rectangle,0.7000963,0.7000963,Visual arts,0.6681165,0.6681165,Formal wear,0.6037443,0.6037443,Fashion design,0.6025781,0.6025781,Sculpture,0.5809264,0.5809264,Peach,0.57284474,0.57284474,Costume design,0.5650181,0.5650181
greeting-card-4x6-front-65b8f4e48e7c2.jpg,Rectangle,0.86464876,0.86464876,Font,0.7880766,0.7880766,Packaging and labeling,0.7426713,0.7426713,Box,0.7047323,0.7047323,Logo,0.669427,0.669427,Brand,0.66242546,0.66242546,Paper product,0.6484565,0.6484565,Magenta,0.63714457,0.63714457,Transparency,0.62327933,0.62327933,Graphics,0.6129187,0.6129187
premium-luster-photo-paper-poster-_in_-12x12-transparent-6583382a87468.jpg,Flower,0.94763756,0.94763756,Plant,0.8975089,0.8975089,Gesture,0.85260487,0.85260487,Art,0.81986374,0.81986374,People in nature,0.81627166,0.81627166,Font,0.7872454,0.7872454,Grass,0.748993,0.748993,Happy,0.6995179,0.6995179,Landscape,0.69332725,0.69332725,Painting,0.690359,0.690359
yoga-mat-white-front-65dc6cbb1d5eb.jpg,Smile,0.9524713,0.9524713,Knee,0.87319833,0.87319833,Sleeve,0.8724504,0.8724504,Shorts,0.8680535,0.8680535,Waist,0.866727,0.866727,Thigh,0.8597657,0.8597657,Sportswear,0.78551424,0.78551424,Elbow,0.7823594,0.7823594,Dance,0.75097346,0.75097346,Human leg,0.7454723,0.7454723
all-over-print-case-for-airpods-white-airpods-pro-gen1-left-front-661829f8e1171.jpg,Head,0.9727184,0.9727184,Flower,0.9606484,0.9606484,Plant,0.93743825,0.93743825,Eye,0.9350661,0.9350661,Headgear,0.8205835,0.8205835,Font,0.75891376,0.75891376,Jewellery,0.7423761,0.7423761,Rose,0.7400439,0.7400439,Body jewelry,0.7361394,0.7361394,Art,0.7061659,0.7061659
premium-luster-photo-paper-poster-_in_-16x16-transparent-657a8c8af3f4f.jpg,Coat,0.89849216,0.89849216,Automotive design,0.847253,0.847253,Suit,0.8358647,0.8358647,Flash photography,0.8294669,0.8294669,Font,0.7655573,0.7655573,Event,0.7140129,0.7140129,Tie,0.7042354,0.7042354,Formal wear,0.6903316,0.6903316,Monochrome photography,0.68370813,0.68370813,Monochrome,0.66542244,0.66542244
yoga-mat-white-front-663e4bb4731be.jpg,Leg,0.92323655,0.92323655,Sleeve,0.8712035,0.8712035,Thigh,0.8092341,0.8092341,Art,0.80223864,0.80223864,Waist,0.79932797,0.79932797,Calf,0.77129,0.77129,Flooring,0.75866073,0.75866073,Knee,0.7502716,0.7502716,Human leg,0.74146986,0.74146986,Day dress,0.73992604,0.73992604
all-over-print-case-for-airpods-white-airpods-pro-gen2-back-661829f8e160e.jpg,Cap,0.87121874,0.87121874,Helmet,0.8583725,0.8583725,Headgear,0.82848454,0.82848454,Font,0.7963491,0.7963491,Hat,0.720919,0.720919,Fashion accessory,0.67617124,0.67617124,Personal protective equipment,0.66946334,0.66946334,Metal,0.66371053,0.66371053,Jewellery,0.6592682,0.6592682,Art,0.63864684,0.63864684
enhanced-matte-paper-poster-_in_-10x10-transparent-65721bd38d738.jpg,Flower,0.87594193,0.87594193,Plant,0.8754235,0.8754235,Insect,0.872189,0.872189,Botany,0.8706847,0.8706847,Petal,0.8626156,0.8626156,Rectangle,0.84606034,0.84606034,Art,0.7890346,0.7890346,Arthropod,0.7664622,0.7664622,Terrestrial plant,0.7657517,0.7657517,Magenta,0.7517565,0.7517565
